Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=5
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=200-epochs=10000-lr_bert0.01-frozen=TRUE-lr0.01.log'
lr=0.01
lr_bert=0.01
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=200-epochs=10000-lr_bert0.01-frozen=TRUE-lr0.01.txt'
rnn_hidden_dim=200
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=200-epochs=10000-lr_bert0.01-frozen=TRUE-lr0.01.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
             94 |          78.41 |          68.74 |          63.08 |          66.66 
             95 |          72.15 |          70.15 |          63.28 |          66.76 
             96 |          79.38 |          69.44 |          63.49 |          66.26 
             97 |          73.71 |          68.50 |          62.81 |          66.16 
             98 |          77.10 |          69.47 |          63.24 |          65.70 
             99 |          75.92 |          68.08 |          61.13 |          65.12 
            100 |          77.08 |          69.58 |          62.53 |          66.24 
            101 |          72.83 |          69.10 |          63.15 |          66.20 
            102 |          74.18 |          67.43 |          60.57 |          63.41 
            103 |          77.40 |          69.71 |          62.94 |          66.12 
            104 |          77.48 |          69.08 |          63.79 |          66.27 
            105 |          76.39 |          71.38 |          64.15 |          67.24 
            106 |          76.95 |          69.52 |          64.44 |          66.58 
            107 |          69.51 |          70.05 |          64.37 |          67.00 
            108 |          75.25 |          70.26 |          64.62 |          67.02 
            109 |          75.02 |          70.13 |          64.22 |          66.84 
            110 |          75.39 |          69.28 |          62.22 |          65.09 
            111 |          75.80 |          69.72 |          62.89 |          65.32 
            112 |          75.34 |          68.96 |          62.29 |          65.21 
            113 |          80.06 |          70.34 |          64.65 |          65.51 
            114 |          78.81 |          69.86 |          63.92 |          65.55 
            115 |          76.84 |          70.28 |          63.84 |          64.88 
            116 |          75.71 |          70.91 |          64.40 |          65.61 
            117 |          71.63 |          70.33 |          64.10 |          66.31 
            118 |          79.20 |          67.71 |          61.48 |          64.72 
            119 |          76.98 |          69.58 |          62.92 |          64.88 
            120 |          70.14 |          69.72 |          63.13 |          64.84 
            121 |          76.49 |          70.41 |          63.63 |          65.39 
            122 |          78.51 |          68.50 |          62.45 |          64.12 
            123 |          70.44 |          70.32 |          63.97 |          65.89 
            124 |          74.58 |          70.19 |          61.95 |          65.29 
            125 |          71.57 |          71.52 |          64.58 |          67.25 
            126 |          70.21 |          72.22 |          64.86 |          66.94 
            127 |          79.62 |          70.26 |          62.75 |          65.41 
            128 |          72.26 |          70.36 |          62.99 |          65.96 
            129 |          68.03 |          69.80 |          62.69 |          65.93 
            130 |          75.15 |          71.85 |          63.89 |          67.71 
            131 |          77.34 |          71.48 |          63.92 |          66.88 
            132 |          76.34 |          72.33 |          64.28 |          67.19 
            133 |          73.36 |          71.83 |          63.98 |          67.10 
            134 |          70.71 |          70.43 |          62.33 |          65.45 
            135 |          79.47 |          71.41 |          64.41 |          67.27 
            136 |          69.51 |          71.71 |          65.10 |          67.40 
            137 |          76.68 |          72.33 |          65.44 |          68.75 
            138 |          74.73 |          72.06 |          64.63 |          68.36 
            139 |          78.78 |          72.06 |          64.35 |          67.59 
            140 |          66.04 |          71.26 |          63.52 |          66.29 
            141 |          65.35 |          71.14 |          62.96 |          65.94 
            142 |          73.11 |          71.79 |          63.86 |          67.12 
            143 |          71.80 |          72.94 |          65.21 |          67.72 
            144 |          70.85 |          73.11 |          65.05 |          68.01 
            145 |          67.96 |          71.91 |          64.18 |          67.60 
            146 |          71.68 |          72.68 |          64.82 |          67.34 
            147 |          69.86 |          71.40 |          63.46 |          66.61 
            148 |          68.23 |          71.48 |          63.98 |          66.61 
            149 |          69.62 |          72.40 |          64.62 |          67.62 
            150 |          71.09 |          70.44 |          62.64 |          65.85 
            151 |          69.26 |          72.14 |          65.12 |          67.66 
            152 |          72.24 |          71.31 |          63.34 |          65.65 
            153 |          67.47 |          71.87 |          63.55 |          66.63 
            154 |          68.29 |          71.74 |          63.75 |          67.71 
            155 |          70.09 |          72.78 |          64.99 |          68.01 
            156 |          71.12 |          71.88 |          63.56 |          66.46 
            157 |          74.99 |          72.44 |          64.62 |          67.62 
            158 |          65.46 |          73.07 |          64.75 |          67.42 
            159 |          68.88 |          72.46 |          64.83 |          67.50 
            160 |          66.31 |          73.21 |          65.64 |          67.91 
            161 |          68.10 |          71.73 |          64.61 |          66.59 
            162 |          80.30 |          72.26 |          64.31 |          66.96 
            163 |          71.40 |          71.68 |          64.98 |          67.63 
            164 |          73.62 |          72.45 |          65.22 |          67.74 
            165 |          64.22 |          72.52 |          64.31 |          67.28 
            166 |          70.83 |          72.51 |          64.77 |          66.98 
            167 |          72.61 |          73.42 |          65.19 |          68.48 
            168 |          73.94 |          73.34 |          65.42 |          67.96 
            169 |          70.26 |          72.49 |          64.51 |          68.06 
            170 |          65.98 |          72.93 |          64.79 |          68.06 
            171 |          72.35 |          72.77 |          64.76 |          67.92 
            172 |          75.18 |          73.51 |          65.30 |          68.40 
            173 |          67.43 |          73.58 |          64.10 |          67.47 
            174 |          73.92 |          73.81 |          64.60 |          67.98 
            175 |          67.03 |          71.81 |          62.76 |          65.86 
            176 |          70.80 |          73.80 |          65.03 |          68.10 
            177 |          70.03 |          72.79 |          63.38 |          66.48 
            178 |          77.56 |          73.43 |          64.97 |          67.87 
            179 |          71.52 |          74.14 |          65.91 |          69.30 
            180 |          68.86 |          74.01 |          65.52 |          68.39 
            181 |          69.79 |          73.76 |          64.84 |          69.16 
            182 |          69.22 |          73.17 |          63.53 |          67.47 
            183 |          70.33 |          73.57 |          64.20 |          67.21 
            184 |          62.71 |          74.76 |          65.19 |          69.72 
            185 |          66.18 |          74.24 |          65.07 |          68.50 
            186 |          70.87 |          72.74 |          63.20 |          67.04 
            187 |          67.83 |          74.27 |          64.60 |          67.61 
            188 |          64.99 |          73.95 |          64.93 |          68.36 
            189 |          67.64 |          73.50 |          64.17 |          68.59 
            190 |          64.74 |          74.04 |          64.38 |          68.21 
            191 |          68.30 |          74.40 |          65.43 |          68.86 
            192 |          65.79 |          73.85 |          63.62 |          68.16 
            193 |          66.55 |          74.06 |          63.66 |          68.84 
            194 |          68.69 |          74.22 |          64.72 |          68.15 
            195 |          67.40 |          74.91 |          65.75 |          69.08 
            196 |          76.70 |          75.46 |          65.88 |          69.47 
            197 |          69.23 |          75.11 |          65.43 |          69.18 
            198 |          67.51 |          75.76 |          66.12 |          70.11 
            199 |          68.35 |          74.83 |          65.77 |          69.34 
            200 |          67.54 |          74.35 |          65.24 |          68.77 
            201 |          66.07 |          74.14 |          65.36 |          67.79 
            202 |          71.49 |          74.77 |          64.77 |          69.14 
            203 |          68.17 |          75.40 |          66.70 |          69.96 
            204 |          70.76 |          75.06 |          64.89 |          68.96 
            205 |          68.44 |          74.26 |          65.51 |          68.38 
            206 |          63.61 |          75.27 |          64.94 |          68.39 
            207 |          65.68 |          73.97 |          64.18 |          67.32 
            208 |          60.32 |          74.59 |          64.40 |          68.12 
            209 |          67.61 |          74.22 |          64.57 |          68.03 
            210 |          66.66 |          74.64 |          63.96 |          68.73 
            211 |          69.53 |          75.71 |          65.06 |          69.51 
            212 |          69.82 |          75.23 |          65.85 |          69.36 
            213 |          61.35 |          74.48 |          65.18 |          68.36 
            214 |          66.95 |          75.17 |          65.79 |          69.53 
            215 |          65.44 |          74.58 |          65.18 |          69.14 
            216 |          65.54 |          74.66 |          65.85 |          69.19 
            217 |          60.65 |          74.44 |          66.05 |          68.79 
            218 |          65.30 |          75.17 |          65.63 |          69.08 
            219 |          71.91 |          75.37 |          65.60 |          69.51 
            220 |          71.98 |          75.70 |          65.93 |          68.73 
            221 |          64.92 |          76.05 |          65.99 |          69.71 
            222 |          64.59 |          74.38 |          64.39 |          67.36 
            223 |          67.20 |          76.38 |          66.70 |          70.34 
            224 |          66.50 |          75.62 |          66.11 |          69.23 
            225 |          63.65 |          74.72 |          64.76 |          68.29 
            226 |          66.79 |          74.64 |          64.59 |          67.41 
            227 |          64.68 |          75.48 |          65.93 |          68.36 
            228 |          71.18 |          76.37 |          66.62 |          69.95 
            229 |          64.13 |          76.64 |          67.07 |          69.85 
            230 |          68.76 |          76.14 |          66.03 |          68.27 
            231 |          64.43 |          75.19 |          64.80 |          68.00 
            232 |          67.35 |          76.22 |          66.41 |          68.80 
            233 |          65.55 |          75.76 |          65.42 |          68.79 
            234 |          69.07 |          76.60 |          66.88 |          69.36 
            235 |          63.57 |          76.70 |          67.10 |          69.87 
            236 |          59.57 |          75.40 |          65.28 |          68.74 
            237 |          66.32 |          76.42 |          66.69 |          69.41 
            238 |          63.48 |          76.58 |          65.91 |          68.84 
            239 |          64.69 |          76.08 |          66.16 |          69.00 
            240 |          70.63 |          76.36 |          66.57 |          69.00 
            241 |          65.19 |          76.51 |          66.65 |          69.56 
            242 |          65.96 |          76.04 |          66.41 |          69.42 
            243 |          69.25 |          75.02 |          66.02 |          69.11 
            244 |          70.60 |          76.13 |          66.51 |          70.14 
            245 |          60.78 |          76.19 |          66.40 |          70.10 
            246 |          64.75 |          76.93 |          66.27 |          69.58 
            247 |          67.74 |          76.66 |          66.25 |          69.18 
            248 |          59.04 |          76.42 |          65.90 |          69.14 
            249 |          69.64 |          76.54 |          66.09 |          68.73 
            250 |          69.83 |          76.41 |          65.95 |          68.80 
            251 |          64.58 |          77.58 |          67.28 |          70.51 
            252 |          62.92 |          75.94 |          66.40 |          68.82 
            253 |          64.97 |          76.62 |          67.14 |          69.75 
            254 |          70.37 |          77.13 |          67.15 |          69.78 
            255 |          62.66 |          76.87 |          67.45 |          70.12 
            256 |          70.77 |          76.81 |          67.46 |          69.28 
            257 |          62.78 |          76.97 |          67.32 |          69.58 
            258 |          70.55 |          77.52 |          66.99 |          69.06 
            259 |          65.65 |          77.03 |          66.89 |          69.85 
            260 |          66.10 |          76.40 |          66.90 |          69.45 
            261 |          66.19 |          76.95 |          67.08 |          70.06 
            262 |          61.11 |          76.79 |          66.88 |          69.64 
            263 |          63.23 |          76.46 |          66.03 |          69.43 
            264 |          68.79 |          76.94 |          66.84 |          69.28 
            265 |          62.99 |          76.64 |          66.75 |          69.85 
            266 |          64.61 |          76.08 |          66.20 |          68.90 
            267 |          57.32 |          76.65 |          66.84 |          69.73 
            268 |          63.93 |          76.99 |          67.08 |          69.09 
            269 |          67.97 |          77.65 |          67.31 |          70.58 
            270 |          63.81 |          76.39 |          66.02 |          68.55 
            271 |          59.52 |          76.19 |          66.50 |          69.12 
            272 |          60.41 |          77.12 |          66.92 |          70.01 
            273 |          57.59 |          77.25 |          66.59 |          70.36 
            274 |          63.59 |          76.82 |          66.93 |          70.49 
            275 |          62.94 |          77.90 |          68.04 |          70.50 
            276 |          61.56 |          77.25 |          66.74 |          70.09 
            277 |          65.76 |          78.02 |          67.01 |          70.26 
            278 |          59.38 |          77.77 |          66.70 |          69.48 
            279 |          70.24 |          77.73 |          67.58 |          70.20 
            280 |          61.65 |          77.76 |          68.10 |          70.39 
            281 |          66.21 |          77.02 |          67.42 |          69.85 
            282 |          62.24 |          77.74 |          67.73 |          69.95 
            283 |          63.24 |          78.06 |          67.83 |          69.69 
            284 |          65.85 |          77.85 |          67.47 |          69.38 
            285 |          64.70 |          77.69 |          66.92 |          69.81 
            286 |          65.17 |          77.03 |          66.54 |          69.41 
            287 |          66.92 |          77.82 |          67.72 |          69.96 
            288 |          65.81 |          78.18 |          67.43 |          69.87 
            289 |          59.48 |          77.29 |          66.23 |          69.16 
            290 |          54.89 |          76.67 |          66.06 |          68.83 
            291 |          67.24 |          77.60 |          67.19 |          69.52 
            292 |          60.37 |          77.62 |          66.73 |          69.87 
            293 |          62.72 |          78.44 |          67.40 |          70.19 
            294 |          61.58 |          78.05 |          66.75 |          69.70 
            295 |          66.00 |          77.75 |          66.87 |          69.89 
            296 |          58.58 |          77.80 |          67.10 |          69.63 
            297 |          61.50 |          78.32 |          67.66 |          70.37 
            298 |          63.31 |          77.67 |          67.64 |          69.88 
            299 |          63.10 |          77.87 |          67.34 |          69.31 
            300 |          61.40 |          77.89 |          66.60 |          69.21 
            301 |          62.16 |          78.33 |          67.90 |          70.61 
            302 |          65.74 |          78.69 |          68.06 |          70.29 
            303 |          67.91 |          78.32 |          67.26 |          69.60 
            304 |          61.87 |          78.44 |          67.50 |          69.54 
            305 |          63.43 |          78.08 |          67.51 |          69.65 
            306 |          64.08 |          78.31 |          67.26 |          69.83 
            307 |          61.36 |          78.29 |          66.99 |          70.50 
            308 |          59.53 |          78.08 |          66.34 |          70.16 
            309 |          60.02 |          77.58 |          65.69 |          69.07 
            310 |          68.18 |          78.45 |          67.43 |          69.40 
            311 |          61.49 |          78.26 |          67.04 |          70.00 
            312 |          61.09 |          78.64 |          67.15 |          70.53 
            313 |          62.06 |          78.54 |          67.67 |          70.27 
            314 |          62.17 |          78.14 |          66.79 |          68.98 
            315 |          61.37 |          78.30 |          67.40 |          70.43 
            316 |          60.78 |          78.37 |          66.82 |          69.86 
            317 |          66.18 |          78.72 |          67.70 |          70.40 
            318 |          59.17 |          77.61 |          66.75 |          69.24 
            319 |          68.05 |          78.21 |          67.63 |          70.38 
            320 |          62.02 |          77.19 |          66.60 |          69.09 
            321 |          63.12 |          77.17 |          66.08 |          69.45 
            322 |          63.17 |          78.20 |          66.51 |          70.41 
            323 |          63.11 |          77.75 |          66.12 |          70.11 
            324 |          61.69 |          78.09 |          66.52 |          70.43 
            325 |          63.87 |          78.34 |          66.77 |          71.25 
            326 |          64.01 |          78.20 |          66.93 |          71.30 
            327 |          69.45 |          77.54 |          65.08 |          69.52 
            328 |          66.99 |          77.86 |          66.22 |          69.64 
            329 |          61.53 |          78.05 |          66.52 |          70.06 
            330 |          63.64 |          78.02 |          67.21 |          69.86 
            331 |          62.37 |          78.18 |          67.01 |          70.59 
            332 |          64.78 |          78.77 |          66.67 |          70.34 
            333 |          65.98 |          78.78 |          67.33 |          70.28 
            334 |          61.91 |          77.53 |          65.65 |          68.70 
            335 |          58.03 |          78.77 |          66.85 |          70.34 
            336 |          62.26 |          78.39 |          67.00 |          69.54 
            337 |          54.59 |          77.93 |          65.74 |          69.26 
            338 |          65.30 |          78.40 |          66.18 |          69.47 
            339 |          65.47 |          78.47 |          66.83 |          70.16 
            340 |          66.87 |          79.05 |          67.20 |          70.58 
            341 |          55.49 |          77.98 |          66.09 |          70.18 
            342 |          64.33 |          78.64 |          66.95 |          70.45 
            343 |          59.95 |          77.98 |          66.19 |          70.01 
            344 |          63.10 |          78.76 |          66.52 |          70.61 
            345 |          65.95 |          79.30 |          67.61 |          71.23 
            346 |          59.24 |          77.74 |          66.17 |          69.88 
            347 |          63.75 |          78.72 |          67.75 |          70.74 
            348 |          58.17 |          78.15 |          66.38 |          69.89 
            349 |          59.34 |          78.44 |          67.07 |          70.63 
            350 |          66.22 |          79.01 |          67.79 |          71.08 
            351 |          65.52 |          78.75 |          67.37 |          70.70 
            352 |          61.11 |          78.87 |          67.17 |          70.46 
            353 |          59.08 |          79.14 |          67.59 |          70.42 
            354 |          58.88 |          78.45 |          66.11 |          70.13 
            355 |          63.04 |          78.50 |          67.41 |          70.25 
            356 |          62.07 |          78.79 |          67.35 |          70.34 
            357 |          67.70 |          79.24 |          67.60 |          70.74 
            358 |          64.12 |          79.08 |          67.42 |          70.37 
            359 |          64.72 |          79.54 |          67.27 |          70.45 
            360 |          61.18 |          78.14 |          66.01 |          69.11 
            361 |          62.80 |          78.95 |          67.94 |          70.35 
            362 |          58.43 |          78.62 |          67.21 |          70.46 
            363 |          59.11 |          79.51 |          68.00 |          71.08 
            364 |          61.11 |          78.85 |          67.67 |          70.23 
            365 |          66.63 |          79.55 |          67.41 |          70.41 
            366 |          59.01 |          78.59 |          66.55 |          69.95 
            367 |          61.85 |          78.75 |          67.25 |          70.50 
            368 |          60.66 |          79.79 |          68.32 |          70.92 
            369 |          54.00 |          78.84 |          66.56 |          70.00 
            370 |          62.52 |          79.07 |          67.20 |          70.56 
            371 |          61.30 |          79.12 |          67.35 |          70.55 
            372 |          65.36 |          79.85 |          68.29 |          71.14 
            373 |          57.46 |          78.50 |          66.07 |          70.36 
            374 |          61.19 |          78.60 |          66.53 |          70.91 
            375 |          60.24 |          79.38 |          67.56 |          71.45 
            376 |          59.77 |          78.67 |          66.39 |          70.46 
            377 |          62.20 |          79.39 |          67.03 |          70.92 
            378 |          62.56 |          78.80 |          67.18 |          70.90 
            379 |          60.06 |          78.73 |          66.93 |          70.78 
            380 |          60.53 |          78.75 |          67.64 |          71.03 
            381 |          63.59 |          79.97 |          68.64 |          70.99 
            382 |          65.35 |          79.12 |          66.81 |          70.48 
            383 |          64.36 |          79.93 |          67.21 |          70.76 
            384 |          63.96 |          80.07 |          67.80 |          71.21 
            385 |          63.04 |          79.62 |          67.38 |          70.28 
            386 |          59.73 |          79.46 |          67.11 |          70.83 
            387 |          59.26 |          79.31 |          67.69 |          71.25 
            388 |          61.62 |          79.18 |          67.22 |          70.10 
            389 |          60.89 |          79.86 |          68.51 |          70.69 
            390 |          56.44 |          80.26 |          68.35 |          70.81 
            391 |          58.19 |          80.10 |          67.82 |          70.90 
            392 |          59.77 |          79.41 |          66.94 |          70.36 
            393 |          62.87 |          80.20 |          68.25 |          70.53 
            394 |          60.55 |          79.95 |          67.22 |          70.25 
            395 |          64.49 |          80.02 |          66.91 |          70.43 
            396 |          62.58 |          80.47 |          67.91 |          70.91 
            397 |          59.53 |          80.25 |          67.96 |          70.61 
            398 |          60.32 |          80.11 |          67.04 |          70.62 
            399 |          61.07 |          80.08 |          67.14 |          69.93 
            400 |          61.72 |          80.17 |          67.80 |          70.67 
            401 |          62.04 |          80.45 |          68.07 |          71.27 
            402 |          59.76 |          79.84 |          66.76 |          70.95 
            403 |          60.42 |          80.15 |          67.72 |          71.15 
            404 |          61.23 |          80.24 |          67.43 |          71.05 
            405 |          60.22 |          79.76 |          67.50 |          70.86 
            406 |          63.10 |          80.81 |          67.94 |          71.41 
            407 |          59.06 |          79.48 |          65.68 |          70.40 
            408 |          63.29 |          80.48 |          67.82 |          71.80 
            409 |          62.74 |          80.33 |          67.87 |          71.49 
            410 |          62.92 |          80.21 |          66.65 |          70.91 
            411 |          59.89 |          80.09 |          65.90 |          70.72 
            412 |          60.62 |          80.59 |          67.00 |          70.94 
            413 |          55.70 |          80.55 |          67.29 |          71.45 
            414 |          54.60 |          79.50 |          66.47 |          70.77 
            415 |          60.70 |          80.49 |          67.94 |          71.66 
            416 |          60.57 |          80.97 |          68.25 |          71.93 
            417 |          62.76 |          80.83 |          67.71 |          70.80 
            418 |          63.49 |          80.99 |          68.00 |          71.81 
            419 |          55.15 |          81.03 |          67.69 |          71.54 
            420 |          53.26 |          80.70 |          68.02 |          71.74 
            421 |          59.65 |          80.91 |          67.85 |          71.88 
            422 |          58.84 |          80.89 |          68.05 |          71.66 
            423 |          62.49 |          81.02 |          67.74 |          71.19 
            424 |          61.24 |          80.75 |          67.33 |          71.05 
            425 |          55.53 |          79.93 |          67.24 |          69.68 
            426 |          56.65 |          80.78 |          68.07 |          70.97 
            427 |          61.15 |          79.95 |          66.99 |          70.37 
            428 |          62.78 |          80.54 |          67.94 |          70.85 
            429 |          57.49 |          80.52 |          67.60 |          71.15 
            430 |          61.01 |          80.05 |          66.78 |          70.91 
            431 |          58.45 |          79.95 |          67.43 |          71.25 
            432 |          55.83 |          80.53 |          67.53 |          70.24 
            433 |          57.13 |          80.25 |          67.00 |          70.13 
            434 |          59.55 |          80.41 |          67.59 |          70.91 
            435 |          58.61 |          80.52 |          67.68 |          70.97 
            436 |          52.84 |          80.17 |          67.64 |          71.02 
            437 |          62.49 |          80.65 |          67.69 |          71.27 
            438 |          59.12 |          80.42 |          67.28 |          71.25 
            439 |          64.27 |          80.59 |          67.07 |          71.24 
